,ApplicationFrameHost,chrome,CoollePDFConverter,EXCEL,explorer,firefox,msedge,OneDrive,ONENOTE,OUTLOOK,PBIDesktop,SearchApp,ShellExperienceHost,Skype,Ssms,Teams,Model
OneDrive,False,True,True,True,False,False,False,False,False,True,True,False,False,False,True,False,IM
Skype,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,IM
CoollePDFConverter,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,HM
OneDrive,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,HM
EXCEL,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,IMF
OneDrive,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,IMF
ShellExperienceHost,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,DEC
