,ApplicationFrameHost,chrome,CoollePDFConverter,explorer,firefox,msedge,ONENOTE,OUTLOOK,SearchApp,ShellExperienceHost,Skype,Ssms,Teams
IM vs HM,0.000566293,0.00056709,2.88E-07,0.002167507,0.004049453,4.05E-06,0.000770863,6.23E-08,0.001134715,0.000697697,0.038881232,0.001101422,8.32E-08
IM vs IMF,0.000589494,4.64E-05,8.80E-06,7.93E-06,0.001197623,0.000679454,3.75E-07,1.35E-07,2.84E-10,0.079396772,0.075542983,7.13E-06,1.78E-07
HM vs IMF,0.46297745,0.098368728,0.03773982,0.055601657,0.547277859,0.045989412,0.340571377,0.346646489,0.463990222,0.007009906,0.458932739,0.933620416,0.481441663
